Example,Class Name
qual é a data do quadro?,data_obra
quando o quadro foi feito?,data_obra
quando esta obra foi feita?,data_obra
qual é a data desta obra?,data_obra
Qual é a data desta obra?,data_obra
Quem pintou este quadro?,autor_obra
Qual o autor desta obra?,autor_obra
quem fez esta obra?,autor_obra
quem fez este quadro?,autor_obra
Quem é o autor desta obra?,autor_obra
Por que a caixa é de madeira?,caixa_porco
Voce acredita que esta caixa consegue segurar este porco?,caixa_porco
Quem era o presidente?,presidente_época
Quem mandava no Brasil nessa época?,presidente_época
Quem governava o país?,presidente_época
O que acontecia no mundo no ano em que você foi pintado?,obra_contexto_histórico
Quando essa obra foi feita?,data_obra
De quando é a obra?,data_obra
Onde foi pintada?,local_criação_obra
Ele está preso para ser abatido?,porco_morto
Como ele foi transportado até lá,transporte_porco
Quem é o autor desta obra?,autor_obra
Qual foi a inspiracao que o artista teve para esta peca? E por que o porco preso em um caixote?,intenção_autor
Por que ele está preso?,porco_preso
Por que esse porco está preso?,porco_preso
Por que esse porco está preso?,porco_preso
Por que o porco esta preso ?,porco_preso
por que o porco esta preso?,porco_preso
onde podemos encontrar essa obra?,endereço_obra
Por que o porco esta preso?,porco_preso
por que o porco está preso?,porco_preso
Por que o porquinho ta preso? ,porco_preso
Por quê você está preso?,porco_preso
Porque ele está preso?,porco_preso
Porque o animal está preso?,porco_preso
porque o porco está preso?,porco_preso
Porque o porco está preso?,porco_preso
Porque o posto está preso ?,porco_preso
Porque você tá preso?,porco_preso
qual o autor,autor_obra
Quando Nelson Leirner criou a obra?,data_obra
Ele é palmeirense?,palmeiras_porco
porque isso é considerado uma obra?,dúvida_obra
Quem é o autor desta obra?,autor_obra
qual o tipo de madeira da caixa?,caixa_porco
qual é a madeira usada na caixa?,caixa_porco
qual é a madeira utilizada no engradado?,caixa_porco
que tipo de material é feito essa madeira?,caixa_porco
essa caixa era de madeira?,caixa_porco
qual a cor da grade ?,caixa_porco
é porco ou porca?,sexo_porco
qual a importancia desta obra para as artes?,importância_obra
O porque eu estava vivo ou tava morto naquela situação,porco_morto
Porque que você está na caixa,porco_preso
Qual é nela pra,sem_compreensão
Você acha,sem_compreensão
Por que este porco está preso na caixa ?,porco_preso
O que o artista quis dizer com essa obra?,intenção_autor
Um porco? O que ele quis dizer com isto?,intenção_autor
quem é nelson leirner?,biografia_autor
quem é Nelson leirner?,biografia_autor
Quem foi Nelson Leirner? ,biografia_autor
Por que o animal está preso?,porco_preso
Qual é a história desse quadro?,história_porco
por que isso é considerado arte?,dúvida_obra
Por que isto é uma obra de arte ? ,dúvida_obra
O que a imagem do porco representa?,intenção_autor
O que a obra significa?,intenção_autor
o que o artista quis relatar com esta obra ? ,intenção_autor
o que o pintor queria retrarar?,intenção_autor
o que o pintor quis mostrar com esta gaiola com um porco ?,intenção_autor
O que passava na cabeça do pintor pra pintar um porco?,intenção_autor
O que se quis dizer com isso?,intenção_autor
Porque esta ai?,intenção_autor
qual a mensagem subliminar ?,intenção_autor
Qual o sentido de retratar um porco na gaiola?,intenção_autor
Qual o significado da sua pintura para a epoca que foi pintado?,intenção_autor
qual o significado desta obra ? ,intenção_autor
Que sentimento queria passar?,intenção_autor
Qual o sentido dessa obra?,intenção_autor
Por que o porco está preso?,porco_preso
Esta imagem representa uma agressão ao porco ?,porco_morto
Isso é mesmo considerado obra de arte?????,dúvida_obra
Em que ano você foi pintado?,data_obra
Em que ano foi pintado o quadro?,data_obra
Em que ano foi feita essa Obra?,data_obra
Qual é o ano da obra?,data_obra
"O que esse trabalho significa para a arte contemporânea brasileira, isto é, com o que ela está dialogando? ",intenção_autor
O que o artista imaginou passar com esta imagem bizarra?,intenção_autor
O que significa essa obra?,intenção_autor
O que significa essa obra?,intenção_autor
Será que Nelson estava pensando na violência que os animais sofrem quando estão prestes a ir para o abate?,intenção_autor
O que significa o porco estar preso na caixa?,porco_preso
De onde veio a ideia de fazer uma obra de arte com um porco numa caixa?,porco_preso
por que o porco está na caixa?,porco_preso
O palmeiras vai ser campeão esse ano?,palmeiras_porco
Essa obra é palmeirense?,palmeiras_porco
Por que essa obra é considerada Arte?,dúvida_obra
WTF is that?,dúvida_obra
O que isso representa?,intenção_autor
O que o autor quis passar?,intenção_autor
Qual a proposta do artista com essa figura?,intenção_autor
Qual é a transgressão/ questionamento que se faz nessa obra?,intenção_autor
Qual interpretação podemos ter ?,intenção_autor
Qual mensagem o pintor quis passar?,intenção_autor
Quem foi Nelson Leiner?,biografia_autor
qual o significado da obra,intenção_autor
qual o significado dessa hora,intenção_autor
você torce pelo palmeiras?,palmeiras_porco
qual objetivo da obra,intenção_autor
o que ela representa,intenção_autor
Qual tamanho desse porco,tamanho_porco
Empalhar um animal pode ser considerado um ato de crueldade,sem_resposta
Quantos kg ele pesa?,peso_porco
é um porco de verdade?,tipo_obra
vc conhece a peppa?,relação_peppa_pig
A pessoa que pintou esse quadro era vegetariana?,alimentação_autor
Porco assado,bacon_porco
Bacon,bacon_porco
Quero bacon,bacon_porco
a caixa não é pequena para o porco,caixa_porco
Quem te prendeu dessa forma ?,autor_obra
o que a caixa é feita?,caixa_porco
o que vão fazer com o animal?,história_porco
Qual é o tipo dessa madeira?,caixa_porco
Isso é arte?,dúvida_obra
Esse quadro é uma pintura ou uma foto?,tipo_obra
O que é isso?,tipo_obra
Isso é uma pintura ou uma foto?,tipo_obra
Isso é um porco?,tipo_obra
Isso é uma pintura ? ,tipo_obra
Isso é um porco de verdade?,tipo_obra
Você foi pintado ou é uma fotografia?,tipo_obra
que bicho e esse?,tipo_obra
O que é isso?,tipo_obra
Para onde estão levando o porco?,transporte_porco
Essa obra foi baseada num porco vivo?,porco_morto
O porco estava vivo?,porco_morto
O intuito desse porco é chocar as pessoas?,intenção_autor
O que ele quis transmitir com essa obra?,intenção_autor
O que esse porco simboliza?,intenção_autor
O que isso representa?,intenção_autor
Qual a intenção ao pintar a tela? ,intenção_autor
O porco está sujo?,sem_resposta
Ele é de estimação?,história_porco
o porco vive nesse espaço?,Tempo_porco_caixa
Vão matá-lo?,porco_morto
Por que esse porco está preso?,porco_preso
por que o porco está preso?,porco_preso
Por que o porco está preso?,porco_preso
Por que o porco está preso?,porco_preso
porque ele esta preso?,porco_preso
Porque o porco está preso?,porco_preso
Porque o porco está preso?,porco_preso
"triste o porco preso , por que esta assim ?",porco_preso
por que o porco esta na caixa?,porco_preso
por que ele ta na jaula?,porco_preso
Porque esse porco tá num espaço tão pequeno?,porco_preso
porque te prenderam?,porco_preso
O artista morava em alguma fazenda?,sem_resposta
Como devemos interpretar esta obra?,intenção_autor
Por que voce considera esse porco em uma caixa como arte?,dúvida_obra
Por que esse porco está dentro desse engradado ?,porco_preso
O artista tinha algum trauma de infância com porcos?,história_porco
Esse não é o seu lugar,sem_resposta
Quem fez isso com você?,autor_obra
Quem fez isso?,autor_obra
Existem mais obra do seu criador/pintor que eu possa ver? E onde estão estas obras?,outras_obras
Quem te prendeu?,autor_obra
Qual é o ano da obra?,data_obra
De que ano é essa obra?,data_obra
Esta obra é uma obra de que ano?,data_obra
Em que ano o quadro foi pintado?,data_obra
em que ano foi feita essa pintura ?,data_obra
Em que ano esta obra foi feita?,data_obra
Qual foi o ano de criação desta obra?,data_obra
Qual o ano em que foi pintado?,data_obra
De que ano é?,data_obra
De que ano é ssa obra?,data_obra
em que ano foi efetuada?,data_obra
em que ano foi feita a pintura?,data_obra
Qual o ano de sua criação?,data_obra
Como esse porco foi parar ai dentro?,Tempo_porco_caixa
De onde é o artista?,nascimento_autor
De onde é o artista? Qual é o ano da obra? ,nascimento_autor
o porco está vivo?,porco_morto
Por que o animal está preso?,porco_preso
Porque este porco está preso?,porco_preso
Você gosta que como você,sentimento_porco
Que material que eu for usar numa praia para preencher o porco,técnica_obra
de quem é o porco?,endereço_obra
de quem é o porco?,endereço_obra
Isso é uma foto ou uma pintura?,tipo_obra
O que levou Nelson Leirner pintar esse quadro?,intenção_autor
É um porco de estimação?,história_porco
