Results Active Learning, Batch Size : 100
Accuracy: 41.65, Epoch: 0 
Accuracy: 56.45, Epoch: 1 
Accuracy: 68.48, Epoch: 2 
Accuracy: 75.58, Epoch: 3 
Accuracy: 77.92, Epoch: 4 
Accuracy: 78.61, Epoch: 5 
Accuracy: 81.65, Epoch: 6 
Accuracy: 85.02, Epoch: 7 
Accuracy: 84.42, Epoch: 8 
Accuracy: 86.15, Epoch: 9 
Accuracy: 85.89, Epoch: 10 
Accuracy: 86.58, Epoch: 11 
Accuracy: 86.23, Epoch: 12 
Accuracy: 87.10, Epoch: 13 
Accuracy: 87.45, Epoch: 14 
Accuracy: 87.62, Epoch: 15 
Accuracy: 87.79, Epoch: 16 
Accuracy: 88.14, Epoch: 17 
Accuracy: 88.48, Epoch: 18 
Accuracy: 88.40, Epoch: 19 
Accuracy: 88.31, Epoch: 20 
Accuracy: 88.05, Epoch: 21 
Accuracy: 87.88, Epoch: 22 
Accuracy: 88.74, Epoch: 23 
Accuracy: 88.48, Epoch: 24 
Accuracy: 88.66, Epoch: 25 
Accuracy: 88.48, Epoch: 26 
Accuracy: 88.74, Epoch: 27 
Accuracy: 88.23, Epoch: 28 
Accuracy: 88.57, Epoch: 29 
Accuracy: 88.74, Epoch: 30 
Accuracy: 88.48, Epoch: 31 
Accuracy: 88.74, Epoch: 32 
Accuracy: 88.57, Epoch: 33 
Accuracy: 88.23, Epoch: 34 
Accuracy: 88.92, Epoch: 35 
Accuracy: 88.83, Epoch: 36 
Accuracy: 88.66, Epoch: 37 
Accuracy: 88.66, Epoch: 38 
Accuracy: 88.40, Epoch: 39 
Accuracy: 88.57, Epoch: 40 
