Results Random , Batch Size : 100
Accuracy: 41.56, Epoch: 0 
Accuracy: 58.10, Epoch: 1 
Accuracy: 65.71, Epoch: 2 
Accuracy: 70.13, Epoch: 3 
Accuracy: 73.42, Epoch: 4 
Accuracy: 75.93, Epoch: 5 
Accuracy: 76.88, Epoch: 6 
Accuracy: 78.96, Epoch: 7 
Accuracy: 79.91, Epoch: 8 
Accuracy: 81.56, Epoch: 9 
Accuracy: 81.82, Epoch: 10 
Accuracy: 81.99, Epoch: 11 
Accuracy: 82.25, Epoch: 12 
Accuracy: 83.29, Epoch: 13 
Accuracy: 83.12, Epoch: 14 
Accuracy: 83.03, Epoch: 15 
Accuracy: 83.64, Epoch: 16 
Accuracy: 83.20, Epoch: 17 
Accuracy: 84.24, Epoch: 18 
Accuracy: 84.16, Epoch: 19 
Accuracy: 84.16, Epoch: 20 
Accuracy: 84.59, Epoch: 21 
Accuracy: 84.94, Epoch: 22 
Accuracy: 85.71, Epoch: 23 
Accuracy: 86.15, Epoch: 24 
Accuracy: 86.41, Epoch: 25 
Accuracy: 86.32, Epoch: 26 
Accuracy: 86.41, Epoch: 27 
Accuracy: 87.01, Epoch: 28 
Accuracy: 87.27, Epoch: 29 
Accuracy: 87.01, Epoch: 30 
Accuracy: 86.75, Epoch: 31 
Accuracy: 87.36, Epoch: 32 
Accuracy: 87.27, Epoch: 33 
Accuracy: 87.53, Epoch: 34 
Accuracy: 88.14, Epoch: 35 
Accuracy: 87.88, Epoch: 36 
Accuracy: 87.97, Epoch: 37 
Accuracy: 88.05, Epoch: 38 
Accuracy: 88.14, Epoch: 39 
Accuracy: 88.48, Epoch: 40 
Accuracy: 88.92, Epoch: 41 
